Description de la couleur,Code Hexadécimal
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
vert,#008000
citron vert,#00FF00
magenta,#FF00FF
bordeaux,#800000
bleu marine,#000080
olive,#808000
orange,#FFA500
rose,#FFC0CB
violet,#800080
rouge,#FF0000
argent,#C0C0C0
bleu sarcelle,#008080
violet,#EE82EE
blanc,#FFFFFF
jaune,#FFFF00
aqua,#00FFFF
noir,#000000
bleu,#0000FF
marron,#A52A2A
cyan,#00FFFF
gris,#808080
